time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
66.01,0.004916688648761731,0.0037723945204016884,0.02321492804735386,4.060766589236902e-05,0.02740585061366156,0.006410468575718071,9.801624728796702e-07
66.82,0.00535353951897588,0.0041075741396041365,0.025277588964880866,4.421568247623825e-05,0.029840877629772864,0.006980042729348642,1.0672505233578607e-06
67.64,0.00581903223866447,0.004464729597369975,0.027475486933641713,4.806025637278037e-05,0.03243555564355197,0.007586960650120715,1.1600484464788566e-06
68.45,0.006314288581056048,0.004844721589074263,0.029813918584488355,5.215065247463452e-05,0.035196137471014056,0.008232684926484435,1.2587798724336872e-06
69.27,0.0068404310763992525,0.005248411390925717,0.03229818412266344,5.649614192678236e-05,0.0381288801478392,0.008918679133906595,1.3636685823284837e-06
70.08,0.007398580622891569,0.005676659026920208,0.034933576047420534,6.110598239485056e-05,0.04124003161257884,0.009646404719955877,1.4749380319131668e-06
70.90,0.007989853986929507,0.006130321350874582,0.03772536734905732,6.598939741930575e-05,0.044535816772934105,0.01041731774508326,1.5928108532458243e-06
71.71,0.008615361187472687,0.00661025003954526,0.04067879915877388,7.115555481252424e-05,0.048022422926079764,0.011232865472308118,1.717508333254741e-06
72.53,0.009276202759452732,0.007117289492942545,0.043799067827422926,7.661354405687916e-05,0.05170598450477881,0.012094482799200735,1.849249868187504e-06
73.34,0.009973466891436161,0.007652274638164482,0.04709131141052885,8.237235266427054e-05,0.055592567122582114,0.013003588525914706,1.988252392992108e-06
74.16,0.01070822643317582,0.008216028633401066,0.050560595538965886,8.844084146104441e-05,0.05968815089378172,0.013961581453577846,2.1347297847598073e-06
74.97,0.011481535769268846,0.008809360469206903,0.05421189865743672,9.482771876706924e-05,0.06399861300703522,0.014969836308110364,2.28889223947574e-06
75.78,0.012294427555885765,0.009433062464713295,0.05805009661641886,0.00010154151344389158,0.06852970953574221,0.016029699485512427,2.4509456214721894e-06
